input_text,query,course,label
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Work From Home,Work from Home from 0 budget to 6 figures success in 8 weeks,Work From Home,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Start A Home Business & Work From Home - The Complete Course,Work from Home from 0 budget to 6 figures success in 8 weeks,Start A Home Business & Work From Home - The Complete Course,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Online Business – Work from Home,Work from Home from 0 budget to 6 figures success in 8 weeks,Online Business – Work from Home,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Work From Home - Guide to a Successful Home Based Business,Work from Home from 0 budget to 6 figures success in 8 weeks,Work From Home - Guide to a Successful Home Based Business,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Business Bootcamp: 7 Weeks to Start Your Own Business,Work from Home from 0 budget to 6 figures success in 8 weeks,Business Bootcamp: 7 Weeks to Start Your Own Business,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Work From Home - 5 Ways To Start A Successful Home Business,Work from Home from 0 budget to 6 figures success in 8 weeks,Work From Home - 5 Ways To Start A Successful Home Business,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Start A Profitable Freelance Writing Business In 5 Weeks,Work from Home from 0 budget to 6 figures success in 8 weeks,Start A Profitable Freelance Writing Business In 5 Weeks,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: How to start your restaurant and make a profit in 8 weeks!,Work from Home from 0 budget to 6 figures success in 8 weeks,How to start your restaurant and make a profit in 8 weeks!,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Work From Home Jobs,Work from Home from 0 budget to 6 figures success in 8 weeks,Work From Home Jobs,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Work From Home -Start A Successful Home Business For Seniors,Work from Home from 0 budget to 6 figures success in 8 weeks,Work From Home -Start A Successful Home Business For Seniors,1
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: How to Create Your Business Budget,Work from Home from 0 budget to 6 figures success in 8 weeks,How to Create Your Business Budget,0
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Budget Mastery,Work from Home from 0 budget to 6 figures success in 8 weeks,Budget Mastery,0
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Work From Home Jobs Online:,Work from Home from 0 budget to 6 figures success in 8 weeks,Work From Home Jobs Online:,0
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: How to work from home as a business consultant...,Work from Home from 0 budget to 6 figures success in 8 weeks,How to work from home as a business consultant...,0
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: From 5 to 6 figures with Law of Attraction,Work from Home from 0 budget to 6 figures success in 8 weeks,From 5 to 6 figures with Law of Attraction,0
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: How to Master Audible Work From Home,Work from Home from 0 budget to 6 figures success in 8 weeks,How to Master Audible Work From Home,0
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: How To Work  From Home And Keep Selling,Work from Home from 0 budget to 6 figures success in 8 weeks,How To Work  From Home And Keep Selling,0
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: How to Create Your Personal Budget,Work from Home from 0 budget to 6 figures success in 8 weeks,How to Create Your Personal Budget,0
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Build a Winning Team|Upgrade The Business Revenue in 8 Weeks,Work from Home from 0 budget to 6 figures success in 8 weeks,Build a Winning Team|Upgrade The Business Revenue in 8 Weeks,0
Query: Work from Home from 0 budget to 6 figures success in 8 weeks Course: Cryptocurrency Investment Course to Six Figures + BONUS,Work from Home from 0 budget to 6 figures success in 8 weeks,Cryptocurrency Investment Course to Six Figures + BONUS,0
